municipio,ano,populacao
DOM AQUINO,2023,7953
FELIZ NATAL,2023,10630
FIGUEIROPOLIS D'OESTE,2023,3131
GAUCHA DO NORTE,2023,8938
GENERAL CARNEIRO,2023,6190
GLORIA D'OESTE,2023,2887
GUARANTA DO NORTE,2023,31552
GUIRATINGA,2023,10732
INDIAVAI,2023,2174
IPIRANGA DO NORTE,2023,8136
ITANHANGA,2023,7833
ITAUBA,2023,5127
ITIQUIRA,2023,12472
JACIARA,2023,29369
JANGADA,2023,7491
JAURU,2023,8211
JUARA,2023,35862
JUINA,2023,47397
JURUENA,2023,10268
JUSCIMEIRA,2023,11656
LAMBARI D'OESTE,2023,4746
LUCAS DO RIO VERDE,2023,88126
LUCIARA,2023,2539
MARCELANDIA,2023,11497
MATUPA,2023,20853
MIRASSOL D'OESTE,2023,27434
NOBRES,2023,15730
NORTELANDIA,2023,5960
NOSSA SENHORA DO LIVRAMENTO,2023,11694
NOVA BANDEIRANTES,2023,14036
NOVA BRASILANDIA,2023,3891
NOVA CANAA DO NORTE,2023,11835
NOVA GUARITA,2023,4600
NOVA LACERDA,2023,6889
NOVA MARILANDIA,2023,3616
NOVA MARINGA,2023,5795
NOVA MONTE VERDE,2023,8456
NOVA MUTUM,2023,58541
NOVA NAZARE,2023,4338
NOVA OLIMPIA,2023,16434
NOVA SANTA HELENA,2023,4346
NOVA UBIRATA,2023,11882
NOVA XAVANTINA,2023,25084
NOVO HORIZONTE DO NORTE,2023,3317
NOVO MUNDO,2023,6511
NOVO SANTO ANTONIO,2023,2003
NOVO SAO JOAQUIM,2023,7082
PARANAITA,2023,11951
PARANATINGA,2023,27528
PEDRA PRETA,2023,18545
PEIXOTO DE AZEVEDO,2023,33559
PLANALTO DA SERRA,2023,3228
POCONE,2023,31394
PONTAL DO ARAGUAIA,2023,7169
PONTE BRANCA,2023,2024
PONTES E LACERDA,2023,53816
PORTO ALEGRE DO NORTE,2023,12420
PORTO DOS GAUCHOS,2023,5687
PORTO ESPERIDIAO,2023,10238
PORTO ESTRELA,2023,3202
POXOREU,2023,24102
PRIMAVERA DO LESTE,2023,89513
QUERENCIA,2023,28429
RESERVA DO CABACAL,2023,2056
RIBEIRAO CASCALHEIRA,2023,10340
RIBEIRAOZINHO,2023,2639
RIO BRANCO,2023,4509
RONDOLANDIA,2023,3512
RONDONOPOLIS,2023,254728
ROSARIO OESTE,2023,15421
SALTO DO CEU,2023,3683
SANTA CARMEM,2023,5563
SANTA CRUZ DO XINGU,2023,2721
SANTA RITA DO TRIVELATO,2023,3366
SANTA TEREZINHA,2023,7700
SANTO AFONSO,2023,2452
SANTO ANTONIO DO LESTE,2023,4150
SANTO ANTONIO DO LEVERGER,2023,16776
SAO FELIX DO ARAGUAIA,2023,14059
SAO JOSE DO POVO,2023,2807
SAO JOSE DO RIO CLARO,2023,14813
SAO JOSE DOS QUATRO MARCOS,2023,17954
SAO JOSE DO XINGU,2023,6092
SAO PEDRO DA CIPA,2023,4224
SAPEZAL,2023,30303
SERRA NOVA DOURADA,2023,1835
SINOP,2023,206931
SORRISO,2023,116105
TABAPORA,2023,9932
TANGARA DA SERRA,2023,110549
TAPURAH,2023,14872
TERRA NOVA DO NORTE,2023,10722
TESOURO,2023,2971
TORIXOREU,2023,4212
UNIAO DO SUL,2023,3879
VALE DE SAO DOMINGOS,2023,2897
VARZEA GRANDE,2023,310941
VERA,2023,13229
VILA BELA DA SANTISSIMA TRINDADE,2023,17227
VILA RICA,2023,19948
ACORIZAL,2024,4990
AGUA BOA,2024,31314
ALTA FLORESTA,2024,61291
ALTO ARAGUAIA,2024,17657
ALTO BOA VISTA,2024,5875
ALTO GARCAS,2024,13707
ALTO PARAGUAI,2024,7717
ALTO TAQUARI,2024,11571
APIACAS,2024,8692
ARAGUAIANA,2024,3950
ARAGUAINHA,2024,1006
ARAPUTANGA,2024,14854
ARENAPOLIS,2024,10747
ARIPUANA,2024,26010
BARAO DE MELGACO,2024,7204
BARRA DO BUGRES,2024,29576
BARRA DO GARCAS,2024,72694
BOM JESUS DO ARAGUAIA,2024,7731
BRASNORTE,2024,17496
CACERES,2024,91626
CAMPINAPOLIS,2024,15713
