municipio,epi_year,epi_week,precipitation_sum_mm,wind_speed_10m_max,temperature_2m_max,relative_humidity_2m_min,n_eventos_climaticos,severidade_media,severidade_max
ACORIZAL,2025,8,,,,,7,0.0,0
ACORIZAL,2025,9,,,,,7,0.0,0
ACORIZAL,2025,10,,,,,7,0.0,0
ACORIZAL,2025,11,,,,,7,0.0,0
ACORIZAL,2025,12,,,,,7,0.0,0
ACORIZAL,2025,13,,,,,7,0.0,0
ACORIZAL,2025,14,,,,,7,0.0,0
ACORIZAL,2025,15,,,,,7,0.0,0
ACORIZAL,2025,16,,,,,7,0.0,0
ACORIZAL,2025,17,,,,,7,0.0,0
ACORIZAL,2025,18,,,,,7,0.0,0
ACORIZAL,2025,19,,,,,7,0.0,0
ACORIZAL,2025,20,,,,,7,0.0,0
ACORIZAL,2025,21,,,,,7,0.0,0
ACORIZAL,2025,22,,,,,7,0.0,0
ACORIZAL,2025,23,,,,,7,0.0,0
ACORIZAL,2025,24,,,,,7,0.0,0
ACORIZAL,2025,25,,,,,7,0.0,0
ACORIZAL,2025,26,,,,,7,0.0,0
ACORIZAL,2025,27,,,,,5,0.0,0
ACORIZAL,2025,28,,,,,7,0.0,0
ACORIZAL,2025,29,,,,,7,0.0,0
ACORIZAL,2025,30,,,,,7,0.0,0
ACORIZAL,2025,31,,,,,7,0.0,0
ACORIZAL,2025,32,,,,,7,0.0,0
ACORIZAL,2025,33,,,,,7,0.0,0
ACORIZAL,2025,34,,,,,7,0.0,0
ACORIZAL,2025,35,,,,,7,0.0,0
ACORIZAL,2025,36,,,,,2,0.0,0
ACORIZAL,2025,43,,,,,7,0.0,0
ACORIZAL,2025,44,,,,,7,0.0,0
ACORIZAL,2025,45,,,,,7,0.0,0
ACORIZAL,2025,46,,,,,7,0.0,0
ACORIZAL,2025,47,,,,,7,0.0,0
ACORIZAL,2025,48,,,,,7,0.0,0
ACORIZAL,2025,49,,,,,7,0.0,0
ACORIZAL,2025,50,,,,,7,0.0,0
ACORIZAL,2025,51,,,,,7,0.0,0
ACORIZAL,2025,52,,,,,7,0.0,0
ACORIZAL,2026,1,,,,,3,0.0,0
AGUA BOA,2015,53,,,,,3,0.0,0
AGUA BOA,2016,1,,,,,7,0.0,0
AGUA BOA,2016,2,,,,,7,0.0,0
AGUA BOA,2016,3,,,,,7,0.0,0
AGUA BOA,2016,4,,,,,7,0.0,0
AGUA BOA,2016,5,,,,,7,0.0,0
AGUA BOA,2016,6,,,,,7,0.0,0
