municipio,codigo_ibge,latitude,longitude,idh,gini,extrema_pobreza_pct,pea_2010,idh_inv,pea_inv,idh_inv_z,gini_z,extrema_pobreza_pct_z,pea_inv_z,indice_vulnerabilidade
SANTO ANTONIO DO LEVERGER,5107800.0,-15.8656,-56.0772,0.656,0.54,8.99,7188.0,0.344,0.3037037037037037,0.8431250000000039,0.6745,2.2149121621621624,-0.5480312500000002,0.7961264780405415
SAO FELIX DO ARAGUAIA,5107859.0,-1.1615,-50.6698,0.668,0.55,14.8,4209.0,0.33199999999999996,0.5407407407407407,0.5058750000000024,1.01175,4.862780405405406,0.12646874999999985,1.626718538851352
SAO JOSE DO POVO,5107297.0,-16.4447,-54.2755,0.661,0.51,2.87,1300.0,0.33899999999999997,0.8740740740740741,0.70260416666667,-0.33725,-0.5742364864864864,1.0749843749999999,0.21652551379504587
SAO JOSE DO RIO CLARO,5107305.0,-13.9472,-5.6721,0.682,0.53,2.54,8528.0,0.31799999999999995,0.23703703703703705,0.11241666666666719,0.33725,-0.7246317567567567,-0.737734375,-0.2531748662725224
SAO JOSE DO XINGU,5107354.0,-1.0916,-52.3789,0.657,0.53,8.98,2205.0,0.34299999999999997,0.7259259259259259,0.815020833333337,0.33725,2.21035472972973,0.6534218749999996,1.0040118595157665
SAO JOSE DOS QUATRO MARCOS,5107404.0,-15.6267,-58.1754,0.719,0.5,3.65,8592.0,0.281,0.22962962962962963,-0.9274375000000011,-0.6745,-0.21875675675675677,-0.7588125000000001,-0.6448766891891895
SAO PEDRO DA CIPA,5107875.0,-15.9529,-54.9124,0.66,0.52,2.98,1706.0,0.33999999999999997,0.8,0.7307083333333366,0.0,-0.5241047297297297,0.864203125,0.26770168215090173
SAPEZAL,5107883.0,-13.5414,-58.8344,0.732,0.52,1.12,9207.0,0.268,0.2148148148148148,-1.2927916666666694,0.0,-1.371787162162162,-0.8009687500000002,-0.866386894707208
SERRA NOVA DOURADA,5107909.0,-12.1158,-51.4646,0.664,0.49,9.21,593.0,0.33599999999999997,0.9851851851851852,0.6182916666666696,-1.01175,2.315175675675676,1.3911562499999999,0.8282183980855864
SINOP,5107925.0,-11.8601,-5.5503,0.754,0.54,1.87,59596.0,0.246,0.022222222222222254,-1.911083333333339,0.6745,-1.0299797297297295,-1.349,-0.9038907657657671
SORRISO,5107941.0,-12.5447,-55.7135,0.744,0.54,1.23,34069.0,0.256,0.0444444444444444,-1.630041666666671,0.6745,-1.3216554054054053,-1.2857656250000002,-0.8907406742680192
