familia,exames,n_municipios,tat_mediano_dias,tat_p90_dias,pct_liberado_48h,pct_liberado_48h_coleta,pct_liberado_7d,pct_rejeitado,backlog_estimado,granularidade,municipio,fonte,anos_referencia
arbovirose,329,1,10.34375,274.4691666666667,0.1581196581196581,0.08627450980392157,0.27450980392156865,0.00303951367781155,155,municipio_familia,APIACAS,gal_lacen_microdados,>=2024
arbovirose,304,1,13.077083333333333,135.4750000000001,0.2988505747126437,0.08080808080808081,0.22727272727272727,0.05921052631578947,82,municipio_familia,JUINA,gal_lacen_microdados,>=2024
tuberculose,300,1,2.2666666666666666,149.32694444444445,0.9234449760765551,0.45089285714285715,0.7366071428571429,0.013333333333333334,138,municipio_familia,NOVA XAVANTINA,gal_lacen_microdados,>=2024
hepatite,298,1,2.348611111111111,3.3295833333333333,0.9734513274336283,0.3659574468085106,0.9829787234042553,0.0,76,municipio_familia,LUCAS DO RIO VERDE,gal_lacen_microdados,>=2024
hepatite,297,1,6.531944444444444,85.16791666666664,0.31521739130434784,0.3023255813953488,0.5488372093023256,0.04713804713804714,142,municipio_familia,PONTES E LACERDA,gal_lacen_microdados,>=2024
tuberculose,291,1,4.513194444444444,66.75486111111111,0.6911764705882353,0.29310344827586204,0.5862068965517241,0.054982817869415807,155,municipio_familia,BARRA DO BUGRES,gal_lacen_microdados,>=2024
arbovirose,289,1,10.723611111111111,93.89152777777772,0.29646017699115046,0.024489795918367346,0.3183673469387755,0.0034602076124567475,96,municipio_familia,NOVA BRASILANDIA,gal_lacen_microdados,>=2024
hepatite,283,1,9.688194444444445,194.48597222222233,0.472,0.2108843537414966,0.4013605442176871,0.0,167,municipio_familia,TERRA NOVA DO NORTE,gal_lacen_microdados,>=2024
tuberculose,280,1,3.591666666666667,77.34583333333333,0.6842105263157895,0.3395061728395062,0.6790123456790124,0.1,98,municipio_familia,JUARA,gal_lacen_microdados,>=2024
respiratorio,279,1,3.48125,119.84930555555556,0.6487603305785123,0.11152416356877323,0.5278810408921933,0.26523297491039427,12,municipio_familia,ARAPUTANGA,gal_lacen_microdados,>=2024
arbovirose,278,1,13.558333333333334,26.268611111111117,0.6141304347826086,0.01485148514851485,0.3217821782178218,0.01079136690647482,90,municipio_familia,JURUENA,gal_lacen_microdados,>=2024
outros,277,1,4.391666666666667,86.57173611111111,0.4892086330935252,0.3630952380952381,0.5952380952380952,0.04693140794223827,90,municipio_familia,CHAPADA DOS GUIMARAES,gal_lacen_microdados,>=2024
respiratorio,275,1,5.4430555555555555,206.78402777777777,0.477124183006536,0.23391812865497075,0.6081871345029239,0.24,98,municipio_familia,SORRISO,gal_lacen_microdados,>=2024
hepatite,272,1,6.4743055555555555,29.449305555555554,0.4666666666666667,0.25654450261780104,0.5287958115183246,0.003676470588235294,154,municipio_familia,CONFRESA,gal_lacen_microdados,>=2024
arbovirose,271,1,13.441319444444444,205.78402777777777,0.25136612021857924,0.056074766355140186,0.2850467289719626,0.12915129151291513,84,municipio_familia,DIAMANTINO,gal_lacen_microdados,>=2024
tuberculose,269,1,4.5625,118.63680555555555,0.7243589743589743,0.2807017543859649,0.6432748538011696,0.07806691449814127,112,municipio_familia,SANTO ANTONIO DO LEVERGER,gal_lacen_microdados,>=2024
outros,266,1,8.422569444444445,60.263194444444444,0.216,0.11267605633802817,0.4084507042253521,0.02631578947368421,35,municipio_familia,COLIDER,gal_lacen_microdados,>=2024
tuberculose,264,1,45.64652777777778,119.37291666666667,0.5760869565217391,0.19708029197080293,0.30656934306569344,0.0946969696969697,127,municipio_familia,GUARANTA DO NORTE,gal_lacen_microdados,>=2024
respiratorio,263,1,2.7881944444444446,209.73402777777778,0.56,0.22727272727272727,0.6868686868686869,0.30038022813688214,64,municipio_familia,CHAPADA DOS GUIMARAES,gal_lacen_microdados,>=2024
arbovirose,250,1,10.644444444444444,58.7125,0.1527777777777778,0.14871794871794872,0.38461538461538464,0.0,97,municipio_familia,NOVO SAO JOAQUIM,gal_lacen_microdados,>=2024
